Aikajakso 01.01.2016 - 31.12.2016,Sähkönkulutus mitattu kWh,Päiväsähkönkulutus (klo 07-22) mitattu kWh,Yösähkönkulutus (klo 22-07) mitattu kWh,Lämpötila °C,"Pörssisähkön hinta, sis. alv snt/kWh",
to 18.02.2016 00:00 - 01:00,2.195,0.000,2.195,0.70,2.16,
to 18.02.2016 01:00 - 02:00,2.796,0.000,2.796,0.40,2.22,
to 18.02.2016 02:00 - 03:00,1.395,0.000,1.395,-1.00,2.24,
to 18.02.2016 03:00 - 04:00,1.293,0.000,1.293,-1.00,2.24,
to 18.02.2016 04:00 - 05:00,1.570,0.000,1.570,-0.80,2.28,
to 18.02.2016 05:00 - 06:00,2.384,0.000,2.384,-1.70,2.36,
to 18.02.2016 06:00 - 07:00,2.411,0.000,2.411,-1.40,2.74,
to 18.02.2016 07:00 - 08:00,2.301,2.301,0.000,-1.80,3.73,
to 18.02.2016 08:00 - 09:00,2.778,2.778,0.000,-2.20,4.30,
to 18.02.2016 09:00 - 10:00,3.124,3.124,0.000,-3.90,4.79,
to 18.02.2016 10:00 - 11:00,1.915,1.915,0.000,-4.50,4.30,
to 18.02.2016 11:00 - 12:00,2.729,2.729,0.000,-4.40,3.17,
to 18.02.2016 12:00 - 13:00,2.865,2.865,0.000,-4.30,3.02,
to 18.02.2016 13:00 - 14:00,1.665,1.665,0.000,-3.80,2.95,
to 18.02.2016 14:00 - 15:00,1.553,1.553,0.000,-3.20,3.73,
to 18.02.2016 15:00 - 16:00,1.723,1.723,0.000,-2.90,4.11,
to 18.02.2016 16:00 - 17:00,2.715,2.715,0.000,-2.80,4.29,
to 18.02.2016 17:00 - 18:00,2.793,2.793,0.000,-2.80,4.34,
to 18.02.2016 18:00 - 19:00,2.955,2.955,0.000,-2.70,4.69,
to 18.02.2016 19:00 - 20:00,1.867,1.867,0.000,-2.90,5.46,
to 18.02.2016 20:00 - 21:00,1.537,1.537,0.000,-2.90,2.90,
to 18.02.2016 21:00 - 22:00,1.307,1.307,0.000,-2.70,2.51,
to 18.02.2016 22:00 - 23:00,4.215,0.000,4.215,-2.70,2.46,
to 18.02.2016 23:00 - 00:00,5.264,0.000,5.264,-2.50,2.37,
pe 19.02.2016 00:00 - 01:00,4.889,0.000,4.889,-2.30,2.25,
pe 19.02.2016 01:00 - 02:00,4.130,0.000,4.130,-2.10,2.29,
pe 19.02.2016 02:00 - 03:00,1.312,0.000,1.312,-1.90,2.25,
pe 19.02.2016 03:00 - 04:00,1.293,0.000,1.293,-1.80,2.25,
pe 19.02.2016 04:00 - 05:00,1.409,0.000,1.409,-1.60,2.30,
pe 19.02.2016 05:00 - 06:00,2.728,0.000,2.728,-1.30,2.36,
pe 19.02.2016 06:00 - 07:00,2.825,0.000,2.825,-0.90,3.70,
pe 19.02.2016 07:00 - 08:00,1.643,1.643,0.000,-0.70,4.28,
pe 19.02.2016 08:00 - 09:00,1.384,1.384,0.000,-0.60,4.29,
pe 19.02.2016 09:00 - 10:00,1.235,1.235,0.000,-0.40,4.66,
pe 19.02.2016 10:00 - 11:00,1.474,1.474,0.000,0.00,4.29,
pe 19.02.2016 11:00 - 12:00,2.168,2.168,0.000,0.40,3.18,
pe 19.02.2016 12:00 - 13:00,2.002,2.002,0.000,0.90,3.28,
pe 19.02.2016 13:00 - 14:00,1.154,1.154,0.000,0.80,3.10,
pe 19.02.2016 14:00 - 15:00,1.345,1.345,0.000,1.00,4.10,
pe 19.02.2016 15:00 - 16:00,1.163,1.163,0.000,0.40,4.10,
pe 19.02.2016 16:00 - 17:00,1.768,1.768,0.000,0.20,3.78,
pe 19.02.2016 17:00 - 18:00,3.289,3.289,0.000,0.20,4.28,
pe 19.02.2016 18:00 - 19:00,2.161,2.161,0.000,0.10,4.29,
pe 19.02.2016 19:00 - 20:00,1.441,1.441,0.000,0.20,4.71,
pe 19.02.2016 20:00 - 21:00,1.401,1.401,0.000,-0.10,3.41,
pe 19.02.2016 21:00 - 22:00,1.148,1.148,0.000,-0.20,2.38,
pe 19.02.2016 22:00 - 23:00,3.784,0.000,3.784,-0.30,3.00,
pe 19.02.2016 23:00 - 00:00,4.146,0.000,4.146,-0.60,2.61,
la 20.02.2016 00:00 - 01:00,4.467,0.000,4.467,-0.60,2.11,
la 20.02.2016 01:00 - 02:00,2.029,0.000,2.029,-0.60,2.20,
la 20.02.2016 02:00 - 03:00,0.970,0.000,0.970,-0.80,2.09,
la 20.02.2016 03:00 - 04:00,0.854,0.000,0.854,-1.10,1.92,
la 20.02.2016 04:00 - 05:00,0.927,0.000,0.927,-1.40,1.93,
la 20.02.2016 05:00 - 06:00,0.903,0.000,0.903,-0.90,2.40,
la 20.02.2016 06:00 - 07:00,0.901,0.000,0.901,-0.90,2.61,
la 20.02.2016 07:00 - 08:00,1.685,1.685,0.000,-0.80,2.44,
la 20.02.2016 08:00 - 09:00,1.954,1.954,0.000,-0.60,1.87,
la 20.02.2016 09:00 - 10:00,2.283,2.283,0.000,-0.60,2.91,
la 20.02.2016 10:00 - 11:00,1.479,1.479,0.000,-0.40,3.27,
la 20.02.2016 11:00 - 12:00,0.971,0.971,0.000,-0.30,3.15,
la 20.02.2016 12:00 - 13:00,1.125,1.125,0.000,-0.10,3.22,
la 20.02.2016 13:00 - 14:00,1.135,1.135,0.000,-0.30,2.63,
la 20.02.2016 14:00 - 15:00,2.241,2.241,0.000,-0.40,2.28,
la 20.02.2016 15:00 - 16:00,2.667,2.667,0.000,-0.30,2.43,
la 20.02.2016 16:00 - 17:00,4.240,4.240,0.000,-0.10,2.51,
la 20.02.2016 17:00 - 18:00,4.166,4.166,0.000,0.20,3.27,
la 20.02.2016 18:00 - 19:00,4.224,4.224,0.000,0.00,4.29,
la 20.02.2016 19:00 - 20:00,3.649,3.649,0.000,-0.20,3.80,
la 20.02.2016 20:00 - 21:00,1.884,1.884,0.000,-0.60,2.46,
la 20.02.2016 21:00 - 22:00,0.857,0.857,0.000,-0.70,2.12,
la 20.02.2016 22:00 - 23:00,2.104,0.000,2.104,-0.80,2.15,
la 20.02.2016 23:00 - 00:00,1.445,0.000,1.445,-0.70,1.87,
su 21.02.2016 00:00 - 01:00,1.989,0.000,1.989,-0.50,1.78,
su 21.02.2016 01:00 - 02:00,0.960,0.000,0.960,-0.50,1.91,
su 21.02.2016 02:00 - 03:00,0.901,0.000,0.901,-0.90,1.85,
su 21.02.2016 03:00 - 04:00,1.784,0.000,1.784,-1.10,1.83,
su 21.02.2016 04:00 - 05:00,0.870,0.000,0.870,-1.20,1.85,
su 21.02.2016 05:00 - 06:00,1.150,0.000,1.150,-1.30,1.84,
su 21.02.2016 06:00 - 07:00,1.836,0.000,1.836,-1.30,1.85,
su 21.02.2016 07:00 - 08:00,1.673,1.673,0.000,-1.00,1.90,
su 21.02.2016 08:00 - 09:00,1.907,1.907,0.000,-1.00,1.94,
su 21.02.2016 09:00 - 10:00,2.334,2.334,0.000,-1.10,1.97,
su 21.02.2016 10:00 - 11:00,1.278,1.278,0.000,-0.90,2.06,
su 21.02.2016 11:00 - 12:00,1.413,1.413,0.000,-0.20,2.09,
su 21.02.2016 12:00 - 13:00,1.992,1.992,0.000,-0.20,2.07,
su 21.02.2016 13:00 - 14:00,1.869,1.869,0.000,-0.20,2.05,
su 21.02.2016 14:00 - 15:00,1.151,1.151,0.000,0.10,1.98,
su 21.02.2016 15:00 - 16:00,0.998,0.998,0.000,0.20,1.96,
su 21.02.2016 16:00 - 17:00,3.089,3.089,0.000,0.10,1.94,
su 21.02.2016 17:00 - 18:00,2.381,2.381,0.000,0.00,1.97,
su 21.02.2016 18:00 - 19:00,2.623,2.623,0.000,0.10,2.18,
su 21.02.2016 19:00 - 20:00,2.873,2.873,0.000,0.10,2.31,
su 21.02.2016 20:00 - 21:00,1.671,1.671,0.000,0.10,2.26,
su 21.02.2016 21:00 - 22:00,1.731,1.731,0.000,-0.30,2.17,
su 21.02.2016 22:00 - 23:00,3.612,0.000,3.612,-0.50,2.09,
su 21.02.2016 23:00 - 00:00,5.001,0.000,5.001,-0.60,1.99,
ma 22.02.2016 00:00 - 01:00,4.418,0.000,4.418,-0.80,1.90,
ma 22.02.2016 01:00 - 02:00,3.717,0.000,3.717,-1.10,2.04,
ma 22.02.2016 02:00 - 03:00,1.250,0.000,1.250,-1.30,1.95,
ma 22.02.2016 03:00 - 04:00,1.392,0.000,1.392,-1.80,1.93,
ma 22.02.2016 04:00 - 05:00,2.187,0.000,2.187,-2.10,1.95,
ma 22.02.2016 05:00 - 06:00,2.365,0.000,2.365,-2.80,2.02,
ma 22.02.2016 06:00 - 07:00,3.628,0.000,3.628,-2.70,2.16,
ma 22.02.2016 07:00 - 08:00,2.212,2.212,0.000,-2.90,3.03,
ma 22.02.2016 08:00 - 09:00,1.605,1.605,0.000,-3.00,2.79,
ma 22.02.2016 09:00 - 10:00,2.047,2.047,0.000,-3.00,2.55,
ma 22.02.2016 10:00 - 11:00,2.568,2.568,0.000,-2.90,2.53,
ma 22.02.2016 11:00 - 12:00,2.636,2.636,0.000,-2.80,2.50,
ma 22.02.2016 12:00 - 13:00,1.675,1.675,0.000,-2.80,2.47,
ma 22.02.2016 13:00 - 14:00,1.509,1.509,0.000,-2.90,2.43,
ma 22.02.2016 14:00 - 15:00,1.518,1.518,0.000,-3.00,2.39,
ma 22.02.2016 15:00 - 16:00,2.150,2.150,0.000,-3.20,2.36,
ma 22.02.2016 16:00 - 17:00,2.708,2.708,0.000,-3.40,2.38,
ma 22.02.2016 17:00 - 18:00,2.731,2.731,0.000,-3.80,2.81,
ma 22.02.2016 18:00 - 19:00,1.859,1.859,0.000,-4.10,3.16,
ma 22.02.2016 19:00 - 20:00,2.413,2.413,0.000,-4.50,3.63,
ma 22.02.2016 20:00 - 21:00,1.839,1.839,0.000,-4.80,3.09,
ma 22.02.2016 21:00 - 22:00,3.629,3.629,0.000,-5.00,2.40,
ma 22.02.2016 22:00 - 23:00,3.720,0.000,3.720,-5.20,2.33,
ma 22.02.2016 23:00 - 00:00,5.051,0.000,5.051,-5.40,2.26,
ti 23.02.2016 00:00 - 01:00,4.499,0.000,4.499,-5.50,2.19,
ti 23.02.2016 01:00 - 02:00,3.778,0.000,3.778,-5.70,2.24,
ti 23.02.2016 02:00 - 03:00,1.849,0.000,1.849,-6.00,2.15,
ti 23.02.2016 03:00 - 04:00,2.503,0.000,2.503,-6.80,2.14,
ti 23.02.2016 04:00 - 05:00,2.780,0.000,2.780,-7.90,2.17,
ti 23.02.2016 05:00 - 06:00,2.831,0.000,2.831,-8.00,2.21,
ti 23.02.2016 06:00 - 07:00,4.808,0.000,4.808,-7.20,2.40,
ti 23.02.2016 07:00 - 08:00,2.378,2.378,0.000,-7.90,2.90,
ti 23.02.2016 08:00 - 09:00,2.114,2.114,0.000,-9.90,2.84,
ti 23.02.2016 09:00 - 10:00,2.889,2.889,0.000,-12.30,2.91,
ti 23.02.2016 10:00 - 11:00,2.670,2.670,0.000,-12.90,2.90,
ti 23.02.2016 11:00 - 12:00,2.236,2.236,0.000,-13.10,2.63,
ti 23.02.2016 12:00 - 13:00,2.122,2.122,0.000,-12.50,2.60,
ti 23.02.2016 13:00 - 14:00,2.256,2.256,0.000,-11.00,2.57,
ti 23.02.2016 14:00 - 15:00,2.585,2.585,0.000,-7.10,2.56,
ti 23.02.2016 15:00 - 16:00,2.916,2.916,0.000,-7.00,2.53,
ti 23.02.2016 16:00 - 17:00,3.911,3.911,0.000,-6.50,2.59,
ti 23.02.2016 17:00 - 18:00,2.716,2.716,0.000,-6.30,2.79,
ti 23.02.2016 18:00 - 19:00,2.118,2.118,0.000,-6.30,2.91,
ti 23.02.2016 19:00 - 20:00,1.827,1.827,0.000,-7.30,3.34,
ti 23.02.2016 20:00 - 21:00,3.094,3.094,0.000,-7.30,2.85,
ti 23.02.2016 21:00 - 22:00,2.510,2.510,0.000,-6.70,2.51,
ti 23.02.2016 22:00 - 23:00,1.963,0.000,1.963,-6.00,2.42,
ti 23.02.2016 23:00 - 00:00,4.556,0.000,4.556,-5.70,2.34,
ke 24.02.2016 00:00 - 01:00,4.608,0.000,4.608,-5.30,2.22,
ke 24.02.2016 01:00 - 02:00,4.490,0.000,4.490,-5.80,2.24,
ke 24.02.2016 02:00 - 03:00,2.275,0.000,2.275,-6.00,2.12,
ke 24.02.2016 03:00 - 04:00,2.324,0.000,2.324,-6.30,2.11,
ke 24.02.2016 04:00 - 05:00,2.019,0.000,2.019,-6.10,2.12,
ke 24.02.2016 05:00 - 06:00,2.120,0.000,2.120,-6.00,2.23,
ke 24.02.2016 06:00 - 07:00,2.270,0.000,2.270,-6.00,3.51,
ke 24.02.2016 07:00 - 08:00,1.922,1.922,0.000,-5.80,3.76,
ke 24.02.2016 08:00 - 09:00,2.238,2.238,0.000,-5.20,3.85,
ke 24.02.2016 09:00 - 10:00,2.389,2.389,0.000,-4.80,4.30,
ke 24.02.2016 10:00 - 11:00,1.978,1.978,0.000,-4.10,4.30,
ke 24.02.2016 11:00 - 12:00,1.430,1.430,0.000,-3.80,3.75,
ke 24.02.2016 12:00 - 13:00,1.582,1.582,0.000,-3.30,3.48,
ke 24.02.2016 13:00 - 14:00,1.758,1.758,0.000,-2.90,3.24,
ke 24.02.2016 14:00 - 15:00,2.703,2.703,0.000,-2.20,4.30,
ke 24.02.2016 15:00 - 16:00,2.823,2.823,0.000,-4.20,4.65,
ke 24.02.2016 16:00 - 17:00,2.470,2.470,0.000,-5.80,4.55,
ke 24.02.2016 17:00 - 18:00,2.883,2.883,0.000,-6.30,4.49,
ke 24.02.2016 18:00 - 19:00,2.922,2.922,0.000,-6.40,5.28,
ke 24.02.2016 19:00 - 20:00,2.405,2.405,0.000,-6.30,5.95,
ke 24.02.2016 20:00 - 21:00,3.512,3.512,0.000,-6.50,3.67,
ke 24.02.2016 21:00 - 22:00,2.624,2.624,0.000,-6.40,2.71,
ke 24.02.2016 22:00 - 23:00,2.867,0.000,2.867,-6.10,2.59,
ke 24.02.2016 23:00 - 00:00,4.388,0.000,4.388,-5.70,2.42,
to 25.02.2016 00:00 - 01:00,4.537,0.000,4.537,-4.70,2.33,
to 25.02.2016 01:00 - 02:00,5.398,0.000,5.398,-4.70,2.37,
to 25.02.2016 02:00 - 03:00,4.458,0.000,4.458,-3.70,2.34,
to 25.02.2016 03:00 - 04:00,2.427,0.000,2.427,-3.50,2.33,
to 25.02.2016 04:00 - 05:00,1.614,0.000,1.614,-3.20,2.36,
to 25.02.2016 05:00 - 06:00,1.822,0.000,1.822,-5.20,2.41,
to 25.02.2016 06:00 - 07:00,1.794,0.000,1.794,-5.90,3.75,
to 25.02.2016 07:00 - 08:00,3.414,3.414,0.000,-7.60,3.83,
to 25.02.2016 08:00 - 09:00,3.491,3.491,0.000,-8.10,4.36,
to 25.02.2016 09:00 - 10:00,2.230,2.230,0.000,-8.10,4.74,
to 25.02.2016 10:00 - 11:00,1.882,1.882,0.000,-7.20,4.63,
to 25.02.2016 11:00 - 12:00,1.916,1.916,0.000,-6.40,3.89,
to 25.02.2016 12:00 - 13:00,2.024,2.024,0.000,-6.00,3.77,
to 25.02.2016 13:00 - 14:00,2.728,2.728,0.000,-6.70,3.78,
to 25.02.2016 14:00 - 15:00,2.829,2.829,0.000,-6.40,4.35,
to 25.02.2016 15:00 - 16:00,1.976,1.976,0.000,-6.50,4.35,
to 25.02.2016 16:00 - 17:00,2.072,2.072,0.000,-6.70,4.35,
to 25.02.2016 17:00 - 18:00,2.365,2.365,0.000,-7.00,4.60,
to 25.02.2016 18:00 - 19:00,2.707,2.707,0.000,-7.80,5.31,
to 25.02.2016 19:00 - 20:00,2.976,2.976,0.000,-7.60,5.45,
to 25.02.2016 20:00 - 21:00,2.822,2.822,0.000,-7.80,4.35,
to 25.02.2016 21:00 - 22:00,1.826,1.826,0.000,-7.80,2.99,
to 25.02.2016 22:00 - 23:00,2.795,0.000,2.795,-8.60,2.63,
to 25.02.2016 23:00 - 00:00,4.844,0.000,4.844,-11.00,2.51,
pe 26.02.2016 00:00 - 01:00,5.777,0.000,5.777,-12.60,2.37,
pe 26.02.2016 01:00 - 02:00,5.754,0.000,5.754,-13.20,2.34,
pe 26.02.2016 02:00 - 03:00,2.986,0.000,2.986,-14.90,2.29,
pe 26.02.2016 03:00 - 04:00,2.083,0.000,2.083,-15.30,2.29,
pe 26.02.2016 04:00 - 05:00,2.358,0.000,2.358,-15.40,2.31,
pe 26.02.2016 05:00 - 06:00,3.823,0.000,3.823,-16.40,2.40,
pe 26.02.2016 06:00 - 07:00,6.690,0.000,6.690,-17.00,3.80,
pe 26.02.2016 07:00 - 08:00,3.364,3.364,0.000,-15.80,3.87,
pe 26.02.2016 08:00 - 09:00,2.880,2.880,0.000,-16.00,4.34,
pe 26.02.2016 09:00 - 10:00,2.861,2.861,0.000,-15.50,4.42,
pe 26.02.2016 10:00 - 11:00,2.998,2.998,0.000,-14.00,4.57,
pe 26.02.2016 11:00 - 12:00,3.350,3.350,0.000,-12.10,3.83,
pe 26.02.2016 12:00 - 13:00,3.696,3.696,0.000,-10.00,3.80,
pe 26.02.2016 13:00 - 14:00,3.422,3.422,0.000,-8.60,3.22,
pe 26.02.2016 14:00 - 15:00,2.664,2.664,0.000,-8.00,4.24,
pe 26.02.2016 15:00 - 16:00,2.535,2.535,0.000,-7.40,4.34,
pe 26.02.2016 16:00 - 17:00,2.715,2.715,0.000,-7.10,4.26,
pe 26.02.2016 17:00 - 18:00,4.054,4.054,0.000,-7.00,4.34,
pe 26.02.2016 18:00 - 19:00,4.873,4.873,0.000,-7.00,4.75,
pe 26.02.2016 19:00 - 20:00,3.820,3.820,0.000,-7.00,5.09,
pe 26.02.2016 20:00 - 21:00,2.151,2.151,0.000,-6.90,3.80,
pe 26.02.2016 21:00 - 22:00,1.820,1.820,0.000,-7.40,2.58,
pe 26.02.2016 22:00 - 23:00,4.353,0.000,4.353,-7.70,2.60,
pe 26.02.2016 23:00 - 00:00,4.737,0.000,4.737,-7.70,2.44,
la 27.02.2016 00:00 - 01:00,2.879,0.000,2.879,-7.30,2.36,
la 27.02.2016 01:00 - 02:00,2.765,0.000,2.765,-7.50,2.44,
la 27.02.2016 02:00 - 03:00,1.913,0.000,1.913,-8.10,2.41,
la 27.02.2016 03:00 - 04:00,1.747,0.000,1.747,-8.20,2.39,
la 27.02.2016 04:00 - 05:00,1.782,0.000,1.782,-8.30,2.37,
la 27.02.2016 05:00 - 06:00,2.437,0.000,2.437,-7.90,2.38,
la 27.02.2016 06:00 - 07:00,2.795,0.000,2.795,-7.70,2.42,
la 27.02.2016 07:00 - 08:00,3.059,3.059,0.000,-8.50,2.43,
la 27.02.2016 08:00 - 09:00,2.364,2.364,0.000,-9.00,2.44,
la 27.02.2016 09:00 - 10:00,2.362,2.362,0.000,-9.20,2.99,
la 27.02.2016 10:00 - 11:00,1.890,1.890,0.000,-8.80,2.78,
la 27.02.2016 11:00 - 12:00,2.525,2.525,0.000,-8.30,2.60,
la 27.02.2016 12:00 - 13:00,2.961,2.961,0.000,-7.20,2.46,
la 27.02.2016 13:00 - 14:00,2.690,2.690,0.000,-6.70,2.42,
la 27.02.2016 14:00 - 15:00,1.940,1.940,0.000,-7.40,2.44,
la 27.02.2016 15:00 - 16:00,2.064,2.064,0.000,-7.50,2.49,
la 27.02.2016 16:00 - 17:00,2.507,2.507,0.000,-7.80,2.70,
la 27.02.2016 17:00 - 18:00,4.593,4.593,0.000,-9.50,3.47,
la 27.02.2016 18:00 - 19:00,4.314,4.314,0.000,-12.20,4.34,
la 27.02.2016 19:00 - 20:00,2.779,2.779,0.000,-12.30,4.35,
la 27.02.2016 20:00 - 21:00,2.242,2.242,0.000,-8.80,2.95,
la 27.02.2016 21:00 - 22:00,1.818,1.818,0.000,-8.20,2.44,
la 27.02.2016 22:00 - 23:00,3.171,0.000,3.171,-8.10,2.83,
la 27.02.2016 23:00 - 00:00,4.671,0.000,4.671,-7.90,2.48,
su 28.02.2016 00:00 - 01:00,4.707,0.000,4.707,-8.30,2.33,
su 28.02.2016 01:00 - 02:00,4.715,0.000,4.715,-8.00,2.41,
su 28.02.2016 02:00 - 03:00,2.584,0.000,2.584,-8.00,2.28,
su 28.02.2016 03:00 - 04:00,2.436,0.000,2.436,-8.00,2.23,
su 28.02.2016 04:00 - 05:00,1.715,0.000,1.715,-8.00,2.23,
su 28.02.2016 05:00 - 06:00,1.857,0.000,1.857,-8.10,2.22,
su 28.02.2016 06:00 - 07:00,1.892,0.000,1.892,-8.10,2.24,
su 28.02.2016 07:00 - 08:00,2.870,2.870,0.000,-8.30,2.24,
su 28.02.2016 08:00 - 09:00,3.302,3.302,0.000,-8.50,2.25,
su 28.02.2016 09:00 - 10:00,3.483,3.483,0.000,-8.30,2.28,
su 28.02.2016 10:00 - 11:00,1.774,1.774,0.000,-7.90,2.36,
su 28.02.2016 11:00 - 12:00,1.938,1.938,0.000,-7.70,2.36,
su 28.02.2016 12:00 - 13:00,1.934,1.934,0.000,-8.10,2.36,
su 28.02.2016 13:00 - 14:00,2.276,2.276,0.000,-8.50,2.27,
su 28.02.2016 14:00 - 15:00,2.596,2.596,0.000,-9.50,2.26,
su 28.02.2016 15:00 - 16:00,3.428,3.428,0.000,-9.50,2.24,
su 28.02.2016 16:00 - 17:00,2.053,2.053,0.000,-10.00,2.22,
su 28.02.2016 17:00 - 18:00,2.191,2.191,0.000,-11.30,2.25,
su 28.02.2016 18:00 - 19:00,2.124,2.124,0.000,-13.70,3.36,
su 28.02.2016 19:00 - 20:00,2.531,2.531,0.000,-15.20,3.45,
su 28.02.2016 20:00 - 21:00,3.291,3.291,0.000,-17.40,3.07,
su 28.02.2016 21:00 - 22:00,2.996,2.996,0.000,-17.40,2.56,
su 28.02.2016 22:00 - 23:00,3.486,0.000,3.486,-17.40,2.90,
su 28.02.2016 23:00 - 00:00,5.003,0.000,5.003,-16.80,2.84,
ma 29.02.2016 00:00 - 01:00,4.752,0.000,4.752,-17.10,2.42,
ma 29.02.2016 01:00 - 02:00,5.639,0.000,5.639,-17.60,2.39,
ma 29.02.2016 02:00 - 03:00,5.419,0.000,5.419,-16.90,2.26,
ma 29.02.2016 03:00 - 04:00,2.862,0.000,2.862,-17.00,2.24,
ma 29.02.2016 04:00 - 05:00,2.672,0.000,2.672,-17.30,2.23,
ma 29.02.2016 05:00 - 06:00,2.864,0.000,2.864,-17.70,2.36,
ma 29.02.2016 06:00 - 07:00,5.433,0.000,5.433,-14.00,3.87,
ma 29.02.2016 07:00 - 08:00,4.114,4.114,0.000,-14.20,4.37,
ma 29.02.2016 08:00 - 09:00,3.388,3.388,0.000,-14.60,5.27,
ma 29.02.2016 09:00 - 10:00,2.991,2.991,0.000,-13.80,5.89,
ma 29.02.2016 10:00 - 11:00,2.266,2.266,0.000,-12.80,4.81,
ma 29.02.2016 11:00 - 12:00,2.799,2.799,0.000,-11.90,4.37,
ma 29.02.2016 12:00 - 13:00,3.164,3.164,0.000,-10.70,4.37,
ma 29.02.2016 13:00 - 14:00,3.370,3.370,0.000,-9.50,4.02,
ma 29.02.2016 14:00 - 15:00,3.405,3.405,0.000,-8.00,4.37,
ma 29.02.2016 15:00 - 16:00,2.786,2.786,0.000,-6.50,4.39,
ma 29.02.2016 16:00 - 17:00,2.337,2.337,0.000,-7.50,4.25,
ma 29.02.2016 17:00 - 18:00,2.993,2.993,0.000,-5.50,4.09,
ma 29.02.2016 18:00 - 19:00,2.616,2.616,0.000,-5.80,4.60,
ma 29.02.2016 19:00 - 20:00,2.937,2.937,0.000,-6.40,4.74,
ma 29.02.2016 20:00 - 21:00,3.805,3.805,0.000,-6.60,4.32,
ma 29.02.2016 21:00 - 22:00,2.449,2.449,0.000,-6.30,2.99,
ma 29.02.2016 22:00 - 23:00,3.094,0.000,3.094,-5.90,3.09,
ma 29.02.2016 23:00 - 00:00,4.555,0.000,4.555,-5.60,2.49,
ti 01.03.2016 00:00 - 01:00,4.573,0.000,4.573,-5.20,2.33,
ti 01.03.2016 01:00 - 02:00,2.416,0.000,2.416,-5.40,2.39,
ti 01.03.2016 02:00 - 03:00,2.448,0.000,2.448,-5.50,2.36,
ti 01.03.2016 03:00 - 04:00,1.659,0.000,1.659,-4.80,2.35,
ti 01.03.2016 04:00 - 05:00,1.421,0.000,1.421,-3.00,2.36,
ti 01.03.2016 05:00 - 06:00,2.217,0.000,2.217,-3.00,2.40,
ti 01.03.2016 06:00 - 07:00,2.578,0.000,2.578,-2.90,3.70,
ti 01.03.2016 07:00 - 08:00,3.569,3.569,0.000,-4.20,3.85,
ti 01.03.2016 08:00 - 09:00,2.561,2.561,0.000,-4.60,4.12,
ti 01.03.2016 09:00 - 10:00,1.599,1.599,0.000,-5.00,4.56,
ti 01.03.2016 10:00 - 11:00,1.651,1.651,0.000,-4.90,4.67,
ti 01.03.2016 11:00 - 12:00,1.654,1.654,0.000,-3.70,4.67,
ti 01.03.2016 12:00 - 13:00,2.210,2.210,0.000,-3.10,4.01,
ti 01.03.2016 13:00 - 14:00,2.191,2.191,0.000,-1.90,4.01,
ti 01.03.2016 14:00 - 15:00,1.842,1.842,0.000,-1.30,4.67,
ti 01.03.2016 15:00 - 16:00,1.167,1.167,0.000,-1.40,3.76,
ti 01.03.2016 16:00 - 17:00,1.383,1.383,0.000,-1.70,3.97,
ti 01.03.2016 17:00 - 18:00,1.390,1.390,0.000,-0.90,3.87,
ti 01.03.2016 18:00 - 19:00,2.422,2.422,0.000,-1.30,4.84,
ti 01.03.2016 19:00 - 20:00,2.369,2.369,0.000,-2.00,4.84,
ti 01.03.2016 20:00 - 21:00,2.798,2.798,0.000,-2.60,3.77,
ti 01.03.2016 21:00 - 22:00,1.659,1.659,0.000,-3.30,2.42,
ti 01.03.2016 22:00 - 23:00,2.433,0.000,2.433,-3.60,2.37,
ti 01.03.2016 23:00 - 00:00,6.007,0.000,6.007,-4.30,2.27,
ke 02.03.2016 00:00 - 01:00,5.342,0.000,5.342,-4.30,2.13,
ke 02.03.2016 01:00 - 02:00,4.916,0.000,4.916,-4.00,2.11,
ke 02.03.2016 02:00 - 03:00,3.857,0.000,3.857,-4.40,2.10,
ke 02.03.2016 03:00 - 04:00,1.520,0.000,1.520,-4.60,2.11,
ke 02.03.2016 04:00 - 05:00,1.951,0.000,1.951,-4.80,2.11,
ke 02.03.2016 05:00 - 06:00,4.903,0.000,4.903,-4.80,2.23,
ke 02.03.2016 06:00 - 07:00,5.673,0.000,5.673,-4.70,3.80,
ke 02.03.2016 07:00 - 08:00,2.023,2.023,0.000,-4.90,3.97,
ke 02.03.2016 08:00 - 09:00,1.604,1.604,0.000,-5.30,4.70,
ke 02.03.2016 09:00 - 10:00,1.499,1.499,0.000,-5.90,4.87,
ke 02.03.2016 10:00 - 11:00,2.238,2.238,0.000,-5.50,4.72,
ke 02.03.2016 11:00 - 12:00,2.376,2.376,0.000,-4.60,4.87,
ke 02.03.2016 12:00 - 13:00,2.227,2.227,0.000,-3.70,4.70,
ke 02.03.2016 13:00 - 14:00,1.369,1.369,0.000,-3.30,4.70,
ke 02.03.2016 14:00 - 15:00,1.368,1.368,0.000,-2.90,4.01,
ke 02.03.2016 15:00 - 16:00,1.266,1.266,0.000,-3.40,4.01,
ke 02.03.2016 16:00 - 17:00,2.524,2.524,0.000,-4.00,3.98,
ke 02.03.2016 17:00 - 18:00,2.864,2.864,0.000,-5.00,4.01,
ke 02.03.2016 18:00 - 19:00,2.352,2.352,0.000,-6.10,4.76,
ke 02.03.2016 19:00 - 20:00,1.883,1.883,0.000,-6.70,5.40,
ke 02.03.2016 20:00 - 21:00,1.748,1.748,0.000,-6.90,4.46,
ke 02.03.2016 21:00 - 22:00,2.119,2.119,0.000,-7.50,2.86,
